DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,650500,Collège Milestone,Collège Milestone,"6400, avenue Auteuil, bureau 200",,58007,Brossard,V,J4Z3P5,Établissement d'enseignement privé,Privé,https://www.collegemilestone.ca,-73.465233,45.467752,514 933-6688
,652500,Collège St-Michel,Collège St-Michel,"1995, rue Bélanger",,66023,Montréal,V,H2G1B8,Établissement d'enseignement privé,Privé,https://www.collegest-michel.ca,-73.602282,45.548009,514 374-8989
,653500,Édu2,Édu2,"5800, boulevard Saint-Laurent",,66023,Montréal,V,H2T1T3,Établissement d'enseignement privé,Privé,,-73.602526,45.527232,438 403-3698
,655500,École Primaire Let's Go,École Primaire Let's Go,"17835, 10e Avenue",,29073,Saint-Georges,V,G5Z2B6,Établissement d'enseignement privé,Privé,https://www.maisonletsgo.com/,-70.63318,46.09935,418 227-9333
,656500,ÉtudeSecours,ÉtudeSecours,"90, chemin du Passage",,37067,Trois-Rivières,V,G8T2M3,Établissement d'enseignement privé,Privé,https://etudesecours.com/,-72.54064,46.370872,418 271-7777
,657500,École Supérieure Internationale de Mtl,École Supérieure Internationale de Montréal,"6555, chemin de la Côte-des-Neiges",Bureau 390,66023,Montréal,V,H3S2A6,Établissement d'enseignement privé,Privé,,-73.635125,45.502668,514 738-3838
,658500,École trilingue Vision Rivière-du-Loup,École trilingue Vision Rivière-du-Loup,"40, rue Iberville",,12072,Rivière-du-Loup,V,G5R1G8,Établissement d'enseignement privé,Privé,https://riviereduloup.ecolevision.com/,-69.539874,47.838091,418 605-3111
,659500,Collège de technologie Veritas inc.,Collège de technologie Veritas inc.,"300-320, boulevard Crémazie Est",,66023,Montréal,V,H2P1E4,Établissement d'enseignement privé,Privé,https://www.veritascollege.ca,-73.639054,45.544254,514 910-0177
,660500,Collège Canada,Collège Canada,"1001, rue Sherbrooke Est",,66023,Montréal,V,H2L1L3,Établissement d'enseignement privé,Privé,https://www.collegecanada.com/fr/dep/,-73.566455,45.520519,514 532-1098
,663500,École La Graduation,École La Graduation,"4, rue de la Place-Du-commerce",Bureau 204,58007,Brossard,V,J4W3B3,Établissement d'enseignement privé,Privé,https://www.ecolelagraduation.ca/,-73.475596,45.474661,450 999-7270
,664500,L'École de L'Automobile,L'École de L'Automobile,"3399, boulevard Crémazie Est",,66023,Montréal,V,H1Z2J1,Établissement d'enseignement privé,Privé,,-73.605707,45.564446,514 725-6026
,665500,Académie Nour,Académie Nour,"12190, avenue Brunet",,66023,Montréal,V,H1G5H2,Établissement d'enseignement privé,Privé,https://www.academienour.org,-73.63593,45.609642,514 329-4444
,666500,Collège Greystone,Collège Greystone,"550, rue Sherbrooke Ouest","Tour Est, bureau 800",66023,Montréal,V,H3A1B9,Établissement d'enseignement privé,Privé,,-73.572534,45.505908,514 876-4572
,667500,École Le REPAIRE,École Le REPAIRE,"210, boulevard Sir-Wilfrid-Laurier",Suite 200,57040,Beloeil,V,J3G4G7,Établissement d'enseignement privé,Privé,,-73.214555,45.553239,514 432-4095
,668500,Collège April-Fortier,Collège April-Fortier,"350-1001, rue Sherbrooke Est",,66023,Montréal,V,H2L1L3,Établissement d'enseignement privé,Privé,,-73.566454,45.520515,514 878-1414
,670500,Collège Royal du Québec,Collège Royal du Québec,"400-1001, rue Sherbrooke Est",,66023,Montréal,V,H2L1L3,Établissement d'enseignement privé,Privé,,-73.566454,45.520515,514 652-5564
,671500,Collège l'Avenir de Rosemont inc.,Collège l'Avenir de Rosemont inc.,"3244, boulevard Rosemont",,66023,Montréal,V,H1Y1M7,Établissement d'enseignement privé,Privé,,-73.580256,45.552915,514 419-1115
