DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS,NO_TEL
,693810,École Supérieure Internationale de Mtl,École Supérieure Internationale de Montréal,"6555, chemin de la Côte-des-Neiges",Bureau 390,66023,Montréal,V,H3S2A6,Collège privé,Privé,https://www.esidem.ca,-73.635125,45.502668,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français,514 738-3838
,719503,École de musique Vincent d'Indy,École de musique Vincent d'Indy,"628, chemin de la Côte-Sainte-Catherine",,66023,Montréal,V,H2V2C5,Collège privé,Privé,https://www.emvi.qc.ca,-73.613168,45.512113,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français,514 735-5261
,719517,Collège Stanislas inc.,Collège Stanislas inc.,"780, boulevard Dollard",,66023,Montréal,V,H2V3G5,Collège privé,Privé,https://www.stanislas.qc.ca,-73.614857,45.518005,Collégial,2_Privé,06,Montréal,Montréal,Mont-Royal-Outremont,français,514 273-9521
,747747,"Collège CDI - Montréal, ens. anglais",Collège CDI Administration . Technologie . Santé (secteur anglophone),"1259, rue Berri, 3e étage",,66023,Montréal,V,H2L4C7,Établissement d'enseignement collège privé,Privé,https://www.collegecdi.ca,-73.55864,45.514458,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,anglais,514 849-1234
,748548,Collège LaSalle,Collège LaSalle (secteur anglophone),"2000, rue Sainte-Catherine Ouest",,66023,Montréal,V,H3H2T2,Installation collège privé,Privé,https://www.collegelasalle.com,-73.581805,45.491442,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais,514 939-2006
,748561,Collège O'Sullivan de Montréal inc.,Collège O'Sullivan de Montréal inc. (secteur anglophone),"1191, rue de la Montagne",,66023,Montréal,V,H3G1Z2,Installation collège privé,Privé,https://www.osullivan.edu,-73.573406,45.497406,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais,514 866-4622
,748720,Collège April-Fortier,Collège April-Fortier (secteur anglophne),"1001, rue Sherbrooke Est, bureau 350",,66023,Montréal,V,H2L1N3,Installation collège privé,Privé,https://www.april-fortier.com,-73.566455,45.520519,Collégial,2_Privé,06,Montréal,Montréal,Sainte-Marie-Saint-Jacques,anglais,514 878-1414
,748738,Institut Trebas Québec inc.,Institut Trebas Québec inc. (secteur anglophone),"550, rue Sherbrooke Ouest, 6e étage",,66023,Montréal,V,H3A1B9,Installation collège privé,Privé,https://www.trebas.com,-73.572533,45.505908,Collégial,2_Privé,06,Montréal,Montréal,Westmount-Saint-Louis,anglais,514 845-4141
,748937,École nationale de cirque,"École nationale de cirque, secteur anglophone","8181, avenue du Cirque",,66023,Montréal,V,H1Z4N9,Installation collège privé,Privé,https://ecolenationaledecirque.ca/,-73.613646,45.561794,Collégial,2_Privé,06,Montréal,Montréal,Viau,anglais,514 982-0859
,749547,Collège André-Grasset,Collège André-Grasset,"1001, boulevard Crémazie Est",,66023,Montréal,V,H2M1M3,Collège privé,Privé,https://www.grasset.qc.ca,-73.633141,45.551208,Collégial,2_Privé,06,Montréal,Montréal,Maurice-Richard,français,514 381-4293
